Invoice_ID,Line_No,Item_Description,HSN_Code,Quantity,Unit_Price,Tax_Rate,Line_Total_Amount,PO_Match_Status
INV000047,2,Router,490855,5,14703.81,18.00,86752.48,Matched
INV000047,3,Printer,559672,10,12898.87,18.00,152206.67,Not Matched
INV000047,4,Monitor,955826,2,8630.77,5.00,18124.62,Partial Match
INV000048,1,SSD,560114,4,18561.30,28.00,95033.86,Partial Match
INV000048,2,Tablet,844863,4,19765.50,12.00,88549.44,Partial Match
INV000048,3,Server,370373,9,13945.77,12.00,140573.36,Matched
INV000049,1,Router,452460,5,8950.70,5.00,46991.18,Partial Match
INV000049,2,Server,518912,9,13134.05,12.00,132391.22,Not Matched
INV000050,1,Mouse,580989,5,15789.64,12.00,88421.98,Not Matched
INV000050,2,Keyboard,672289,7,2471.86,18.00,20417.56,Not Matched
INV000050,3,Laptop,480393,5,3559.87,18.00,21003.23,Matched
INV000050,4,Laptop,962297,2,14513.76,18.00,34252.47,Partial Match
INV000050,5,Monitor,372638,4,15572.67,18.00,73503.00,Not Matched
INV000051,1,Printer,411475,1,9410.58,5.00,9881.11,Not Matched
INV000051,2,Router,960648,3,11815.62,5.00,37219.20,Partial Match
INV000051,3,Tablet,152977,10,14139.19,5.00,148461.50,Matched
INV000051,4,Keyboard,368031,3,6821.59,18.00,24148.43,Not Matched
INV000052,1,Keyboard,605626,3,14961.21,12.00,50269.67,Matched
INV000052,2,Monitor,200038,5,4911.03,18.00,28975.08,Partial Match
INV000052,3,Monitor,987531,4,7804.00,28.00,39956.48,Matched
INV000053,1,Server,470563,5,6348.99,18.00,37459.04,Matched
INV000053,2,Server,185781,8,14088.02,18.00,132990.91,Matched
INV000053,3,Keyboard,289287,2,7569.30,5.00,15895.53,Partial Match
INV000053,4,Mouse,855324,4,10518.52,12.00,47122.97,Matched
INV000054,1,Server,191480,7,13747.86,5.00,101046.77,Partial Match
INV000054,2,Webcam,832630,8,17883.79,18.00,168822.98,Partial Match
INV000054,3,Printer,460519,1,6480.20,18.00,7646.64,Matched
INV000055,1,Router,959313,1,3008.20,18.00,3549.68,Partial Match
INV000055,2,Laptop,591682,5,6897.64,12.00,38626.78,Partial Match
INV000055,3,Server,303298,9,17822.21,18.00,189271.87,Partial Match
INV000056,1,Router,962528,6,15721.68,5.00,99046.58,Partial Match
INV000056,2,Webcam,770323,8,18794.06,5.00,157870.10,Not Matched
INV000056,3,Webcam,639344,8,11077.19,12.00,99251.62,Matched
INV000056,4,Router,662962,6,1086.17,18.00,7690.08,Partial Match
INV000056,5,Laptop,674326,6,5129.00,12.00,34466.88,Not Matched
INV000057,1,Keyboard,661779,3,15063.05,12.00,50611.85,Partial Match
INV000057,2,Laptop,136712,7,8005.93,28.00,71733.13,Matched
INV000058,1,Server,481585,4,4195.52,18.00,19802.85,Partial Match
INV000058,2,Monitor,468109,10,8739.59,28.00,111866.75,Partial Match
INV000058,3,Printer,662072,9,10303.06,12.00,103854.84,Matched
INV000059,1,Monitor,786726,2,7741.80,18.00,18270.65,Partial Match
INV000059,2,SSD,823982,2,13035.42,28.00,33370.68,Partial Match
INV000059,3,Keyboard,174282,6,14643.07,18.00,103672.94,Not Matched
INV000059,4,Monitor,737566,2,17508.11,12.00,39218.17,Partial Match
INV000059,5,Tablet,519403,2,5140.21,18.00,12130.90,Partial Match
INV000060,1,Laptop,600468,3,18776.51,5.00,59146.01,Partial Match
INV000060,2,Monitor,677711,5,8471.11,18.00,49979.55,Partial Match
INV000060,3,Mouse,935927,5,5144.14,5.00,27006.74,Matched
INV000061,1,Printer,594896,4,10881.59,18.00,51361.10,Partial Match
INV000061,2,Tablet,771909,10,12180.84,12.00,136425.41,Partial Match
INV000062,1,Keyboard,665039,7,19071.96,5.00,140178.91,Partial Match
INV000062,2,Keyboard,376365,4,14904.79,5.00,62600.12,Partial Match
INV000062,3,Laptop,304285,6,10713.17,12.00,71992.50,Partial Match
INV000063,1,Laptop,519470,5,17776.10,18.00,104878.99,Matched
INV000063,2,Monitor,964378,4,12178.14,5.00,51148.19,Partial Match
INV000063,3,Router,265994,2,9666.38,18.00,22812.66,Partial Match
INV000063,4,Server,532240,4,13319.47,18.00,62867.90,Partial Match
INV000064,1,Tablet,605787,7,17941.45,18.00,148196.38,Matched
INV000064,2,SSD,275682,10,5070.34,12.00,56787.81,Matched
INV000065,1,Webcam,545501,9,2993.41,18.00,31790.01,Not Matched
INV000065,2,Tablet,779369,6,11755.76,12.00,78998.71,Not Matched
INV000065,3,Monitor,447766,10,8068.71,18.00,95210.78,Matched
INV000065,4,Mouse,805951,10,19513.54,12.00,218551.65,Matched
INV000066,1,Webcam,599952,1,4423.91,18.00,5220.21,Not Matched
INV000066,2,Tablet,667841,5,11253.98,5.00,59083.40,Not Matched
INV000066,3,Tablet,589698,4,18033.82,18.00,85119.63,Matched
INV000067,1,Mouse,415691,9,9368.54,28.00,107925.58,Matched
INV000067,2,Monitor,269846,3,5839.45,28.00,22423.49,Not Matched
INV000067,3,Monitor,654123,8,9063.33,12.00,81207.44,Partial Match
INV000067,4,Webcam,875756,10,5143.19,5.00,54003.50,Partial Match
INV000068,1,Mouse,400030,10,5749.44,18.00,67843.39,Not Matched
INV000068,2,SSD,234850,5,5598.22,28.00,35828.61,Partial Match
INV000068,3,Mouse,957132,1,15717.47,18.00,18546.61,Not Matched
INV000069,1,Laptop,490562,9,3649.35,18.00,38756.10,Partial Match
INV000069,2,Mouse,452516,3,8707.96,12.00,29258.75,Partial Match
INV000070,1,Monitor,371966,8,3426.63,5.00,28783.69,Matched
INV000070,2,Server,839336,3,14675.35,28.00,56353.34,Not Matched
INV000070,3,Monitor,328707,2,19328.17,28.00,49480.12,Partial Match
INV000071,1,Keyboard,149345,4,2108.40,5.00,8855.28,Not Matched
INV000071,2,Keyboard,519032,9,12691.25,18.00,134781.08,Not Matched
INV000071,3,SSD,943284,10,17929.36,5.00,188258.28,Partial Match
INV000071,4,Keyboard,612780,3,3058.10,12.00,10275.22,Matched
INV000072,1,Mouse,319449,4,1491.72,5.00,6265.22,Partial Match
INV000072,2,Webcam,714985,5,8104.06,12.00,45382.74,Partial Match
INV000073,1,Printer,359134,5,1295.60,12.00,7255.36,Partial Match
INV000073,2,Printer,368474,8,11198.07,18.00,105709.78,Not Matched
INV000073,3,Mouse,314718,7,17340.27,12.00,135947.72,Partial Match
INV000073,4,Monitor,863027,6,2397.15,5.00,15102.05,Not Matched
INV000073,5,Printer,708650,7,6882.97,28.00,61671.41,Partial Match
INV000074,1,Tablet,468109,9,14496.18,28.00,166995.99,Partial Match
INV000074,2,Router,947061,3,11017.69,28.00,42307.93,Matched
INV000074,3,Monitor,505179,1,16493.20,12.00,18472.38,Partial Match
INV000074,4,Printer,866180,3,4399.60,12.00,14782.66,Matched
INV000075,1,Printer,164883,9,7662.23,5.00,72408.07,Partial Match
INV000075,2,Monitor,567719,7,3149.79,18.00,26017.27,Not Matched
INV000075,3,Server,689438,2,7797.98,28.00,19962.83,Partial Match
INV000075,4,SSD,466216,1,9536.54,18.00,11253.12,Partial Match
INV000075,5,Tablet,253989,4,12015.79,18.00,56714.53,Partial Match
INV000076,1,Laptop,221503,6,13025.55,5.00,82060.97,Partial Match
INV000076,2,SSD,879596,10,14342.60,28.00,183585.28,Not Matched
INV000077,1,Printer,742756,6,3736.37,5.00,23539.13,Not Matched
INV000077,2,Printer,112773,5,13997.54,28.00,89584.26,Matched
INV000078,1,Tablet,339391,10,14663.11,12.00,164226.83,Not Matched
INV000078,2,Tablet,668676,5,2788.29,12.00,15614.42,Not Matched
INV000078,3,Printer,653170,1,6980.14,12.00,7817.76,Not Matched
INV000078,4,Server,624732,1,4839.55,5.00,5081.53,Partial Match
INV000079,1,Webcam,905582,6,6149.77,12.00,41326.45,Partial Match
INV000079,2,Monitor,979401,5,6315.14,18.00,37259.33,Partial Match
INV000079,3,Laptop,756079,2,12717.09,28.00,32555.75,Matched
INV000079,4,Monitor,651181,8,10977.79,12.00,98361.00,Not Matched
INV000080,1,SSD,988301,5,8875.86,12.00,49704.82,Not Matched
INV000080,2,Laptop,267995,1,1053.33,12.00,1179.73,Not Matched
INV000080,3,Router,263735,7,19089.13,12.00,149658.78,Matched
INV000080,4,Webcam,471012,2,19013.13,5.00,39927.57,Matched
INV000080,5,Webcam,395996,6,6037.71,28.00,46369.61,Matched
INV000081,1,Mouse,194188,5,15514.02,5.00,81448.61,Partial Match
INV000081,2,SSD,321948,8,12032.44,5.00,101072.50,Matched
INV000081,3,Server,643490,1,18769.23,18.00,22147.69,Not Matched
INV000081,4,Mouse,151070,5,14951.78,5.00,78496.85,Matched
INV000081,5,Tablet,384329,6,15178.45,28.00,116570.50,Matched
INV000082,1,Laptop,492149,6,14102.80,28.00,108309.50,Partial Match
INV000082,2,Tablet,316169,5,15242.28,5.00,80021.97,Not Matched
INV000082,3,Tablet,239743,1,2256.53,5.00,2369.36,Partial Match
INV000082,4,Monitor,319348,4,6569.76,5.00,27592.99,Matched
INV000082,5,SSD,909493,9,19109.87,28.00,220145.70,Not Matched
INV000083,1,Printer,411272,8,1018.69,28.00,10431.39,Matched
INV000083,2,Monitor,216351,9,9104.02,12.00,91768.52,Not Matched
INV000083,3,Router,778539,5,3843.41,28.00,24597.82,Partial Match
INV000083,4,Mouse,449286,2,4384.94,18.00,10348.46,Partial Match
INV000084,1,Printer,335816,1,9707.74,18.00,11455.13,Partial Match
INV000084,2,Monitor,567392,2,1268.65,18.00,2994.01,Matched
INV000084,3,Mouse,706611,10,4563.51,12.00,51111.31,Partial Match
INV000085,1,Laptop,107063,3,17538.23,12.00,58928.45,Partial Match
INV000085,2,Webcam,735632,1,1957.31,5.00,2055.18,Not Matched
INV000085,3,Webcam,465950,6,18352.81,5.00,115622.70,Not Matched
INV000085,4,Webcam,242375,6,19847.50,12.00,133375.20,Partial Match
INV000086,1,Server,376279,6,10742.86,28.00,82505.16,Not Matched
INV000086,2,Printer,370232,6,17937.06,12.00,120537.04,Not Matched
INV000086,3,Printer,729387,9,3050.08,28.00,35136.92,Partial Match
INV000086,4,Printer,391127,2,9628.06,5.00,20218.93,Not Matched
INV000087,1,Router,427903,4,1199.50,28.00,6141.44,Partial Match
INV000087,2,Server,708952,3,11285.52,5.00,35549.39,Partial Match
INV000088,1,SSD,661774,9,9241.67,18.00,98146.54,Matched
INV000088,2,Monitor,209432,4,6174.43,18.00,29143.31,Matched
INV000088,3,SSD,394825,8,9609.84,5.00,80722.66,Not Matched
INV000088,4,Server,746096,7,16244.77,18.00,134181.80,Partial Match
INV000089,1,Printer,793546,5,16065.41,5.00,84343.40,Matched
INV000089,2,SSD,768679,9,6347.64,18.00,67411.94,Not Matched
INV000089,3,Mouse,366514,7,2233.86,12.00,17513.46,Matched
INV000089,4,Laptop,389353,7,12935.48,28.00,115901.90,Matched
INV000090,1,Printer,502567,3,10012.22,12.00,33641.06,Not Matched
INV000090,2,Tablet,621516,1,5249.20,5.00,5511.66,Matched
INV000090,3,Server,800880,4,3317.46,28.00,16985.40,Matched
INV000090,4,Router,291860,10,6774.84,5.00,71135.82,Matched
INV000090,5,Router,813139,10,9342.40,12.00,104634.88,Not Matched
INV000091,1,Server,136824,3,10002.64,18.00,35409.35,Matched
INV000091,2,Webcam,825421,8,4945.75,5.00,41544.30,Partial Match
INV000091,3,Mouse,615771,8,9235.37,18.00,87181.89,Matched
INV000092,1,Tablet,848498,1,10514.49,28.00,13458.55,Partial Match
INV000092,2,Monitor,805830,2,19827.72,18.00,46793.42,Partial Match
INV000092,3,Printer,432517,2,1913.74,28.00,4899.17,Partial Match
INV000092,4,Monitor,843686,8,16664.95,18.00,157317.13,Partial Match
INV000093,1,Webcam,982638,6,17159.43,28.00,131784.42,Partial Match
INV000093,2,SSD,384387,4,5914.47,12.00,26496.83,Partial Match
INV000093,3,Webcam,152300,9,2706.35,12.00,27280.01,Partial Match
INV000094,1,Monitor,844604,10,8012.43,28.00,102559.10,Matched
INV000094,2,Monitor,904354,1,11255.08,5.00,11817.83,Matched
INV000095,1,Router,544136,4,5871.77,18.00,27714.75,Matched
INV000095,2,Laptop,568155,10,10620.43,28.00,135941.50,Matched
INV000095,3,Router,218504,7,10302.84,28.00,92313.45,Not Matched
INV000095,4,Mouse,413822,8,12466.30,18.00,117681.87,Not Matched
INV000095,5,Tablet,222034,5,16093.71,5.00,84491.98,Not Matched
INV000096,1,Keyboard,584330,1,3088.08,12.00,3458.65,Not Matched
INV000096,2,Mouse,118667,4,5175.37,12.00,23185.66,Partial Match
INV000097,1,Printer,604349,5,11607.83,5.00,60941.11,Partial Match
INV000097,2,Tablet,915162,2,10635.95,12.00,23824.53,Partial Match
INV000097,3,Mouse,529471,4,11497.29,18.00,54267.21,Partial Match
INV000098,1,Printer,472252,5,1174.98,12.00,6579.89,Matched
INV000098,2,Server,937450,1,1594.65,5.00,1674.38,Matched
INV000098,3,Printer,938652,6,15207.19,28.00,116791.22,Matched
INV000099,1,Mouse,309511,8,7189.00,18.00,67864.16,Not Matched
INV000099,2,Monitor,610719,6,2777.15,18.00,19662.22,Matched
INV000099,3,Printer,873885,7,8923.40,12.00,69959.46,Matched
INV000100,1,Mouse,822074,5,19043.80,28.00,121880.32,Matched
INV000100,2,Mouse,440707,3,16510.09,12.00,55473.90,Matched
INV000100,3,Mouse,790493,10,14896.27,12.00,166838.22,Matched
INV000100,4,Server,671900,7,6376.94,5.00,46870.51,Not Matched
INV000101,1,SSD,696975,5,9656.72,28.00,61803.01,Not Matched
INV000101,2,Printer,470407,2,8022.19,5.00,16846.60,Partial Match
INV000101,3,Mouse,341690,4,17921.66,28.00,91758.90,Partial Match
INV000101,4,Server,914736,7,5925.33,28.00,53090.96,Not Matched
INV000101,5,Server,346008,3,17475.12,28.00,67104.46,Not Matched
INV000102,1,Router,460513,2,18720.33,12.00,41933.54,Matched
INV000102,2,Router,385109,9,9972.95,12.00,100527.34,Partial Match
INV000103,1,Tablet,570577,5,15869.61,28.00,101565.50,Partial Match
INV000103,2,Laptop,184903,9,6870.08,12.00,69250.41,Partial Match
INV000103,3,Webcam,993756,7,9196.11,18.00,75959.87,Not Matched
INV000103,4,Laptop,331421,2,19649.48,18.00,46372.77,Matched
INV000104,1,Keyboard,378262,6,1825.60,5.00,11501.28,Matched
INV000104,2,SSD,583102,3,1695.00,5.00,5339.25,Partial Match
INV000104,3,Laptop,692165,6,4479.11,18.00,31712.10,Matched
INV000104,4,Laptop,431034,2,17113.43,12.00,38334.08,Matched
INV000104,5,SSD,942812,10,1874.01,18.00,22113.32,Matched
INV000105,1,Mouse,990726,1,15843.69,18.00,18695.55,Partial Match
INV000105,2,Tablet,189957,10,13875.79,28.00,177610.11,Not Matched
INV000106,1,Mouse,266581,4,13352.15,5.00,56079.03,Partial Match
INV000106,2,Printer,431007,7,11948.41,28.00,107057.75,Partial Match
INV000106,3,Webcam,881959,6,15148.61,5.00,95436.24,Not Matched
INV000106,4,Printer,850396,5,15978.85,28.00,102264.64,Partial Match
INV000107,1,SSD,130820,6,1975.21,5.00,12443.82,Not Matched
INV000107,2,Tablet,682436,2,3567.62,12.00,7991.47,Matched
INV000107,3,Server,982904,3,14161.03,5.00,44607.24,Partial Match
INV000107,4,Monitor,949322,8,11936.37,18.00,112679.33,Not Matched
INV000108,1,SSD,185851,10,11419.99,12.00,127903.89,Partial Match
INV000108,2,Tablet,774638,8,16099.18,5.00,135233.11,Matched
INV000108,3,Tablet,665640,8,16175.76,12.00,144934.81,Not Matched
INV000108,4,Webcam,133100,3,13071.49,18.00,46273.07,Not Matched
INV000109,1,Router,524412,9,17741.50,12.00,178834.32,Not Matched
INV000109,2,Tablet,711149,8,13523.30,18.00,127659.95,Partial Match
INV000110,1,Laptop,160572,5,14408.08,5.00,75642.42,Not Matched
INV000110,2,Laptop,971948,5,14012.96,28.00,89682.94,Partial Match
INV000110,3,Mouse,377872,9,10503.10,12.00,105871.25,Not Matched
INV000111,1,Tablet,107502,6,2040.24,28.00,15669.04,Not Matched
