Document_ID,Invoice_ID,Vendor_Name,Vendor_GSTIN,Buyer_Name,Invoice_Number,Invoice_Date,PO_Number,Taxable_Amount,CGST_Amount,SGST_Amount,IGST_Amount,Total_Amount,Confidence_Score,OCR_Status,Reconciliation_Status,Processing_Time_Min,Exception_Reason
DOC000021,INV000021,Sunrise Traders,17ABCDE3260F1Z7,Wipro,INVNO-100021,2025-10-03,PO-6316116,136553.3,0,0,21846.9,158400.2,82.53,Partial,Matched,10,No Exception
DOC000022,INV000022,Future Tech,20ABCDE9024F1Z9,IBM India,INVNO-100022,2025-12-06,PO-4541259,156684.5,0,0,21363.34,178047.84,92.84,Success,Matched,7,No Exception
DOC000023,INV000023,Apex Manufacturing,27ABCDE4951F1Z6,Capgemini,INVNO-100023,2024-08-11,PO-7668032,189777.23,0,0,45314.65,235091.88,85.8,Success,Matched,2,No Exception
DOC000024,INV000024,Metro Distributors,12ABCDE9059F1Z8,Cognizant,INVNO-100024,2024-02-08,PO-8127796,18340.04,1931.28,1931.27,0,22202.59,90.31,Success,Matched,17,No Exception
DOC000025,INV000025,Crystal Electronics,36ABCDE4638F1Z9,IBM India,INVNO-100025,2024-10-23,PO-2983859,380557.91,30335.67,30335.68,0,441229.26,93.75,Failed,Matched,12,No Exception
DOC000026,INV000026,Sunrise Traders,20ABCDE7593F1Z1,Infosys,INVNO-100026,2025-04-08,PO-4927992,263458.6,0,0,13172.93,276631.53,99.47,Success,Matched,24,No Exception
DOC000027,INV000027,Crystal Electronics,28ABCDE3042F1Z3,Cognizant,INVNO-100027,2025-03-30,PO-2365984,172047.61,14079.93,14079.94,0,200207.48,96.4,Success,Matched,10,No Exception
DOC000028,INV000028,Vertex Systems,10ABCDE2374F1Z3,Capgemini,INVNO-100028,2025-05-03,PO-4275580,235099.96,0,0,12462.95,247562.91,93.52,Partial,Matched,26,No Exception
DOC000029,INV000029,Zenith Solutions,19ABCDE3950F1Z4,Capgemini,INVNO-100029,2024-07-20,PO-5819357,47267.72,5740.83,5740.83,0,58749.38,91.2,Partial,Matched,19,No Exception
DOC000030,INV000030,Sigma Enterprises,10ABCDE9805F1Z2,Infosys,INVNO-100030,2025-08-19,PO-1142861,138342.44,10246.42,10246.41,0,158835.27,87.79,Partial,Matched,23,No Exception
DOC000031,INV000031,Zenith Solutions,32ABCDE8440F1Z1,Wipro,INVNO-100031,2024-08-19,PO-4186227,450506.36,0,0,75215.91,525722.27,81.73,Failed,Matched,21,No Exception
DOC000032,INV000032,Pioneer Industries,24ABCDE7791F1Z2,Capgemini,INVNO-100032,2024-08-24,PO-9818660,162170.38,0,0,25156.51,187326.89,86.42,Failed,Matched,2,No Exception
DOC000033,INV000033,Sunrise Traders,27ABCDE1241F1Z1,Capgemini,INVNO-100033,2024-05-19,PO-7972670,61609.79,0,0,5349.54,66959.33,97.62,Success,Matched,8,No Exception
DOC000034,INV000034,Sigma Enterprises,36ABCDE9748F1Z5,TCS,INVNO-100034,2025-01-03,PO-7041953,257905.78,18021.81,18021.8,0,293949.39,94.27,Success,Matched,1,No Exception
DOC000035,INV000035,Pioneer Industries,10ABCDE8545F1Z3,IBM India,INVNO-100035,2025-04-25,PO-1262469,260881.45,13642.75,13642.74,0,288166.94,89.52,Failed,Matched,23,No Exception
DOC000036,INV000036,Future Tech,19ABCDE4532F1Z9,IBM India,INVNO-100036,2025-04-11,PO-3238313,148260.37,15814.45,15814.46,0,179889.28,93.42,Partial,Matched,5,No Exception
DOC000037,INV000037,Vertex Systems,36ABCDE2674F1Z7,Cognizant,INVNO-100037,2025-02-19,PO-4779402,124094.29,8593.42,8593.42,0,141281.13,99.97,Partial,Matched,10,No Exception
DOC000038,INV000038,Crystal Electronics,27ABCDE5280F1Z5,Cognizant,INVNO-100038,2025-10-22,PO-3348824,231260.19,11582.16,11582.16,0,254424.51,98.72,Failed,Matched,2,No Exception
DOC000039,INV000039,Tech Solutions,31ABCDE2078F1Z7,HCL,INVNO-100039,2025-06-23,PO-4833110,121253.7,9220.34,9220.35,0,139694.39,89.93,Failed,Matched,22,No Exception
DOC000040,INV000040,Neo Technologies,31ABCDE6338F1Z9,HCL,INVNO-100040,2024-01-31,PO-5901383,368465.22,15703.41,15703.4,0,399872.03,82.28,Success,Matched,10,No Exception
DOC000041,INV000041,Elite Components,34ABCDE6236F1Z4,Cognizant,INVNO-100041,2024-04-28,PO-2738291,197539.09,0,0,40868.43,238407.52,85.85,Success,Matched,28,No Exception
DOC000042,INV000042,Omega Supplies,14ABCDE4406F1Z4,Cognizant,INVNO-100042,2025-10-16,PO-6467041,150773.55,7689.12,7689.12,0,166151.79,97.87,Partial,Matched,13,No Exception
DOC000043,INV000043,Future Tech,11ABCDE9636F1Z8,HCL,INVNO-100043,2024-01-27,PO-4284444,139313.19,4765.14,4765.14,0,148843.47,95.36,Success,Matched,15,No Exception
DOC000044,INV000044,ABC Industries,24ABCDE4659F1Z1,Cognizant,INVNO-100044,2025-04-02,PO-6512732,11857.4,0,0,1649.96,13507.36,91.41,Partial,Matched,1,No Exception
DOC000045,INV000045,Prime Supplies,32ABCDE4663F1Z4,Wipro,INVNO-100045,2024-02-12,PO-5707439,288466.46,0,0,55218.18,343684.64,84.11,Success,Matched,16,No Exception
DOC000046,INV000046,GreenLeaf Trading,28ABCDE5464F1Z1,Cognizant,INVNO-100046,2024-02-08,PO-5535182,235941.19,0,0,47943.08,283884.27,93.68,Success,Matched,18,No Exception
DOC000047,INV000047,Global Traders,28ABCDE1303F1Z1,TCS,INVNO-100047,2025-06-06,PO-2308694,254291.53,0,0,43528.48,297820.01,90.42,Success,Matched,6,No Exception
DOC000048,INV000048,Omega Supplies,22ABCDE3620F1Z3,Accenture,INVNO-100048,2024-05-02,PO-5341815,278819.13,22668.76,22668.77,0,324156.66,93.66,Failed,Matched,28,No Exception
DOC000049,INV000049,Velocity Systems,17ABCDE8631F1Z9,Wipro,INVNO-100049,2025-12-26,PO-8783928,162959.95,8211.23,8211.22,0,179382.4,84.83,Failed,Matched,20,No Exception
DOC000050,INV000050,GreenLeaf Trading,18ABCDE4825F1Z8,Accenture,INVNO-100050,2024-05-21,PO-2088737,205368.77,16114.74,16114.73,0,237598.24,92.88,Partial,Matched,24,No Exception
DOC000051,INV000051,Tech Solutions,15ABCDE8388F1Z6,IBM India,INVNO-100051,2024-06-22,PO-4422054,206714.11,6498.06,6498.06,0,219710.23,93.2,Partial,Matched,4,No Exception
DOC000052,INV000052,Pioneer Industries,37ABCDE6719F1Z6,Wipro,INVNO-100052,2025-10-06,PO-1836378,100654.78,9273.23,9273.22,0,119201.23,85.1,Success,Matched,15,No Exception
DOC000053,INV000053,Omega Supplies,37ABCDE9973F1Z4,Accenture,INVNO-100053,2025-12-18,PO-1209534,201661.79,15903.33,15903.33,0,233468.45,85.45,Partial,Matched,12,No Exception
DOC000054,INV000054,Sigma Enterprises,37ABCDE4770F1Z6,IBM India,INVNO-100054,2025-02-09,PO-6116209,245785.54,15865.42,15865.43,0,277516.39,80.59,Partial,Matched,28,No Exception
DOC000055,INV000055,Velocity Systems,33ABCDE6713F1Z6,TCS,INVNO-100055,2024-09-25,PO-6367661,197896.29,0,0,33552.04,231448.33,85.41,Partial,Matched,28,No Exception
DOC000056,INV000056,Blue Ocean Pvt Ltd,21ABCDE5217F1Z2,Infosys,INVNO-100056,2025-12-07,PO-2501522,370591.1,13867.08,13867.08,0,398325.26,81.75,Partial,Matched,15,No Exception
DOC000057,INV000057,Pioneer Industries,12ABCDE2826F1Z8,Infosys,INVNO-100057,2025-09-28,PO-1980193,101230.66,10557.16,10557.16,0,122344.98,87.99,Success,Matched,28,No Exception
DOC000058,INV000058,Smart Electronics,30ABCDE5690F1Z1,Wipro,INVNO-100058,2025-10-18,PO-4647191,196905.52,0,0,38618.92,235524.44,91.04,Success,Matched,29,No Exception
DOC000059,INV000059,Future Tech,26ABCDE2475F1Z6,Cognizant,INVNO-100059,2025-06-15,PO-8224228,174709.5,0,0,31953.84,206663.34,80.74,Failed,Matched,14,No Exception
DOC000060,INV000060,GreenLeaf Trading,22ABCDE3787F1Z2,Infosys,INVNO-100060,2024-06-01,PO-7645008,124405.78,5863.26,5863.26,0,136132.3,97.26,Partial,Matched,19,No Exception
DOC000061,INV000061,Crystal Electronics,16ABCDE6379F1Z5,Cognizant,INVNO-100061,2024-07-10,PO-8594597,165334.76,0,0,22451.75,187786.51,87.31,Failed,Matched,12,No Exception
DOC000062,INV000062,Prime Supplies,10ABCDE7867F1Z3,Accenture,INVNO-100062,2025-04-07,PO-4653383,257401.9,0,0,17369.63,274771.53,85.14,Success,Matched,20,No Exception
DOC000063,INV000063,GreenLeaf Trading,22ABCDE3276F1Z5,Capgemini,INVNO-100063,2025-12-14,PO-9967600,210203.7,15752.02,15752.02,0,241707.74,93.14,Success,Matched,11,No Exception
DOC000064,INV000064,ABC Industries,30ABCDE1700F1Z9,TCS,INVNO-100064,2025-03-17,PO-2159867,176293.55,14345.32,14345.32,0,204984.19,98.87,Failed,Matched,1,No Exception
DOC000065,INV000065,GreenLeaf Trading,15ABCDE3712F1Z5,Cognizant,INVNO-100065,2024-08-10,PO-3136803,373297.75,0,0,51253.4,424551.15,88.8,Failed,Matched,29,No Exception
DOC000066,INV000066,Pioneer Industries,33ABCDE2727F1Z2,Wipro,INVNO-100066,2025-05-16,PO-2615778,132829.09,0,0,16594.15,149423.24,92.32,Success,Matched,15,No Exception
DOC000067,INV000067,Sigma Enterprises,25ABCDE9674F1Z5,Cognizant,INVNO-100067,2024-10-14,PO-6123883,225773.75,0,0,39786.26,265560.01,88.32,Success,Matched,24,No Exception
DOC000068,INV000068,Blue Ocean Pvt Ltd,25ABCDE4359F1Z2,HCL,INVNO-100068,2024-01-08,PO-6470134,101202.97,10507.82,10507.82,0,122218.61,86.88,Partial,Matched,19,No Exception
DOC000069,INV000069,Blue Ocean Pvt Ltd,17ABCDE2738F1Z7,HCL,INVNO-100069,2024-03-03,PO-4846025,58968.03,0,0,9046.82,68014.85,89.08,Partial,Matched,18,No Exception
DOC000070,INV000070,ABC Industries,11ABCDE5933F1Z8,TCS,INVNO-100070,2024-10-08,PO-5534368,110095.43,0,0,24521.72,134617.15,84.86,Partial,Matched,2,No Exception
DOC000071,INV000071,Blue Ocean Pvt Ltd,28ABCDE6315F1Z6,Capgemini,INVNO-100071,2025-09-12,PO-8798356,311122.75,0,0,31047.1,342169.85,99.98,Success,Matched,25,No Exception
DOC000072,INV000072,Neo Technologies,20ABCDE9305F1Z7,Capgemini,INVNO-100072,2025-07-19,PO-4540596,46487.18,0,0,5160.78,51647.96,88.14,Partial,Partial Match,22,Missing GSTIN
DOC000073,INV000073,Tech Solutions,20ABCDE2327F1Z3,Capgemini,INVNO-100073,2025-05-18,PO-9530247,280008.14,22839.09,22839.09,0,325686.32,83.84,Partial,Matched,16,No Exception
DOC000074,INV000074,Vertex Systems,22ABCDE1641F1Z5,Cognizant,INVNO-100074,2024-11-04,PO-4206869,193210.69,24674.13,24674.14,0,242558.96,99.64,Success,Matched,8,No Exception
DOC000075,INV000075,Zenith Solutions,21ABCDE2026F1Z5,Accenture,INVNO-100075,2024-09-24,PO-5007137,164204.26,0,0,22151.56,186355.82,96.83,Success,Matched,24,No Exception
DOC000076,INV000076,Blue Ocean Pvt Ltd,23ABCDE2035F1Z8,Wipro,INVNO-100076,2024-10-08,PO-8308511,221579.3,0,0,44066.95,265646.25,81.2,Partial,Matched,20,No Exception
DOC000077,INV000077,Tech Solutions,27ABCDE4617F1Z6,Infosys,INVNO-100077,2024-11-23,PO-3325360,92405.92,10358.74,10358.73,0,113123.39,85.92,Success,Partial Match,22,PO Mismatch
DOC000078,INV000078,Tech Solutions,20ABCDE5627F1Z2,HCL,INVNO-100078,2025-10-22,PO-8200332,172392.24,0,0,20348.3,192740.54,91.64,Success,Matched,9,No Exception
DOC000079,INV000079,Omega Supplies,32ABCDE1097F1Z7,Accenture,INVNO-100079,2025-04-19,PO-6241478,181730.82,0,0,27771.71,209502.53,94.55,Failed,Matched,8,No Exception
DOC000080,INV000080,Prime Supplies,35ABCDE4936F1Z8,HCL,INVNO-100080,2025-07-12,PO-6942350,253309.06,16765.72,16765.73,0,286840.51,90.56,Failed,Matched,30,No Exception
DOC000081,INV000081,GreenLeaf Trading,36ABCDE7624F1Z9,Infosys,INVNO-100081,2024-02-08,PO-6986080,358428.45,20653.85,20653.85,0,399736.15,89.25,Failed,Matched,7,No Exception
DOC000082,INV000082,Omega Supplies,23ABCDE6890F1Z4,IBM India,INVNO-100082,2024-09-13,PO-1484403,361352.6,38543.46,38543.46,0,438439.52,95.79,Success,Partial Match,17,PO Mismatch
DOC000083,INV000083,Neo Technologies,19ABCDE8659F1Z4,HCL,INVNO-100083,2025-10-11,PO-7435784,118072.63,0,0,19073.56,137146.19,90.49,Partial,Matched,13,No Exception
DOC000084,INV000084,Pioneer Industries,19ABCDE3467F1Z4,TCS,INVNO-100084,2025-02-07,PO-5758020,57880.14,3840.16,3840.15,0,65560.45,89.41,Failed,Matched,19,No Exception
DOC000085,INV000085,Neo Technologies,24ABCDE6236F1Z8,Accenture,INVNO-100085,2025-07-27,PO-3761596,283773.86,13103.83,13103.84,0,309981.53,94.1,Failed,Matched,18,No Exception
DOC000086,INV000086,Apex Manufacturing,18ABCDE3275F1Z7,HCL,INVNO-100086,2024-09-25,PO-2805939,218786.36,0,0,39611.69,258398.05,92.58,Partial,Matched,3,No Exception
DOC000087,INV000087,Global Traders,29ABCDE3627F1Z5,Capgemini,INVNO-100087,2025-01-12,PO-8120353,38654.56,0,0,3036.27,41690.83,94.26,Success,Matched,6,No Exception
DOC000088,INV000088,GreenLeaf Trading,35ABCDE9494F1Z5,IBM India,INVNO-100088,2024-05-30,PO-3958443,298464.86,21864.72,21864.73,0,342194.31,93.03,Failed,Matched,15,No Exception
DOC000089,INV000089,Apex Manufacturing,24ABCDE1936F1Z5,Accenture,INVNO-100089,2025-06-06,PO-5159362,243641.19,20764.76,20764.75,0,285170.7,82.35,Failed,Matched,10,No Exception
DOC000090,INV000090,Sunrise Traders,16ABCDE4433F1Z9,IBM India,INVNO-100090,2025-11-07,PO-7451203,209728.1,0,0,22180.72,231908.82,90.16,Partial,Matched,25,No Exception
DOC000091,INV000091,Blue Ocean Pvt Ltd,21ABCDE2434F1Z2,Cognizant,INVNO-100091,2025-11-15,PO-5662579,143456.88,10339.33,10339.33,0,164135.54,85.69,Partial,Matched,16,No Exception
DOC000092,INV000092,Omega Supplies,17ABCDE4842F1Z4,IBM India,INVNO-100092,2024-10-09,PO-4574991,187317.01,17575.63,17575.63,0,222468.27,80.19,Success,Matched,7,No Exception
DOC000093,INV000093,Sigma Enterprises,23ABCDE3731F1Z5,Wipro,INVNO-100093,2024-01-21,PO-7549719,150971.61,0,0,34589.65,185561.26,93.09,Failed,Matched,13,No Exception
DOC000094,INV000094,Prime Supplies,27ABCDE8033F1Z1,Cognizant,INVNO-100094,2024-10-28,PO-4798160,91379.38,0,0,22997.55,114376.93,93.06,Partial,Matched,25,No Exception
DOC000095,INV000095,Zenith Solutions,20ABCDE6575F1Z6,Infosys,INVNO-100095,2024-08-11,PO-1947705,382010.21,38066.67,38066.67,0,458143.55,81.43,Partial,Matched,1,No Exception
DOC000096,INV000096,Neo Technologies,21ABCDE2092F1Z5,Accenture,INVNO-100096,2025-11-04,PO-5636824,23789.56,1427.38,1427.37,0,26644.31,96.28,Failed,Matched,1,No Exception
DOC000097,INV000097,GreenLeaf Trading,11ABCDE7055F1Z5,Cognizant,INVNO-100097,2025-01-14,PO-4836472,125300.21,0,0,13732.64,139032.85,82.47,Failed,Matched,10,No Exception
DOC000098,INV000098,ABC Industries,28ABCDE7708F1Z2,TCS,INVNO-100098,2025-06-24,PO-2883134,98712.69,0,0,26332.8,125045.49,85.11,Partial,Matched,24,No Exception
DOC000099,INV000099,ABC Industries,10ABCDE9861F1Z8,TCS,INVNO-100099,2024-08-09,PO-7584934,136638.7,0,0,20847.14,157485.84,93.45,Failed,Matched,27,No Exception
DOC000100,INV000100,GreenLeaf Trading,37ABCDE9169F1Z5,Wipro,INVNO-100100,2025-03-16,PO-6570703,338350.55,0,0,52712.4,391062.95,95.96,Failed,Matched,24,No Exception
DOC000101,INV000101,Pioneer Industries,20ABCDE4132F1Z4,Capgemini,INVNO-100101,2024-01-25,PO-6715893,229917.29,0,0,60686.64,290603.93,81.13,Failed,Matched,21,No Exception
DOC000102,INV000102,Omega Supplies,26ABCDE8755F1Z6,Wipro,INVNO-100102,2024-12-31,PO-3250009,127197.21,7631.84,7631.83,0,142460.88,88.9,Failed,Matched,14,No Exception
DOC000103,INV000103,Zenith Solutions,26ABCDE3696F1Z1,Accenture,INVNO-100103,2024-06-26,PO-5274540,244850.5,0,0,48298.05,293148.55,86.74,Success,Matched,3,No Exception
DOC000104,INV000104,Crystal Electronics,36ABCDE8374F1Z8,Infosys,INVNO-100104,2024-03-31,PO-7262123,95880.22,0,0,13119.81,109000.03,86.34,Failed,Matched,11,No Exception
DOC000105,INV000105,Prime Supplies,35ABCDE7768F1Z8,TCS,INVNO-100105,2025-01-27,PO-7744781,154601.59,0,0,41704.07,196305.66,91.24,Failed,Exception,4,Duplicate Invoice
DOC000106,INV000106,Crystal Electronics,14ABCDE5326F1Z7,Accenture,INVNO-100106,2025-01-16,PO-5117111,307833.38,0,0,53004.28,360837.66,94.74,Success,Matched,30,No Exception
DOC000107,INV000107,Zenith Solutions,19ABCDE4922F1Z5,Wipro,INVNO-100107,2025-03-09,PO-8211805,156960.55,10380.66,10380.65,0,177721.86,83.02,Partial,Matched,25,No Exception
DOC000108,INV000108,Apex Manufacturing,21ABCDE1335F1Z1,Capgemini,INVNO-100108,2024-03-18,PO-9741954,411613.89,21365.49,21365.5,0,454344.88,95.95,Success,Matched,14,No Exception
DOC000109,INV000109,Neo Technologies,35ABCDE4507F1Z8,Capgemini,INVNO-100109,2025-08-01,PO-5903910,267859.9,0,0,38634.37,306494.27,94.76,Partial,Matched,3,No Exception
DOC000110,INV000110,Future Tech,24ABCDE4132F1Z2,TCS,INVNO-100110,2025-07-08,PO-6849169,236633.1,0,0,34563.51,271196.61,84.98,Partial,Matched,18,No Exception
DOC000111,INV000111,ABC Industries,23ABCDE6155F1Z6,HCL,INVNO-100111,2025-04-03,PO-8525959,240147.71,18168.89,18168.89,0,276485.49,91.28,Success,Matched,20,No Exception
DOC000112,INV000112,Tech Solutions,19ABCDE4547F1Z7,Wipro,INVNO-100112,2025-08-04,PO-6541564,257779.39,0,0,56641.04,314420.43,80.91,Success,Matched,15,No Exception
DOC000113,INV000113,Smart Electronics,12ABCDE7914F1Z8,TCS,INVNO-100113,2025-01-25,PO-8158611,237280.71,0,0,31222.25,268502.96,93.43,Partial,Matched,6,No Exception
DOC000114,INV000114,Blue Ocean Pvt Ltd,26ABCDE6834F1Z7,IBM India,INVNO-100114,2025-04-24,PO-3491449,371523.83,32200.76,32200.77,0,435925.36,89.9,Failed,Matched,16,No Exception
DOC000115,INV000115,Vertex Systems,23ABCDE6943F1Z2,Infosys,INVNO-100115,2025-06-03,PO-7770839,86380.99,10911.25,10911.25,0,108203.49,82.51,Failed,Matched,26,No Exception
DOC000116,INV000116,Velocity Systems,20ABCDE4911F1Z3,TCS,INVNO-100116,2025-01-29,PO-4708440,242826.58,26255.56,26255.57,0,295337.71,88.23,Success,Matched,20,No Exception
DOC000117,INV000117,Sigma Enterprises,23ABCDE3759F1Z7,IBM India,INVNO-100117,2025-01-13,PO-1001937,114953.07,4494,4494,0,123941.07,84.25,Success,Matched,29,No Exception
DOC000118,INV000118,Pioneer Industries,34ABCDE5711F1Z2,Capgemini,INVNO-100118,2024-06-04,PO-4656071,38500.38,4480.94,4480.93,0,47462.25,99.09,Success,Matched,6,No Exception
DOC000119,INV000119,Sigma Enterprises,13ABCDE7465F1Z9,Cognizant,INVNO-100119,2024-10-05,PO-5081443,339064.31,20090.97,20090.97,0,379246.25,87.31,Partial,Matched,2,No Exception
DOC000120,INV000120,Pioneer Industries,34ABCDE4697F1Z3,IBM India,INVNO-100120,2025-09-30,PO-1893692,150335.06,0,0,29482.46,179817.52,82.84,Failed,Matched,5,No Exception
DOC000121,INV000121,Crystal Electronics,23ABCDE3042F1Z1,HCL,INVNO-100121,2025-06-01,PO-7724866,238138.4,0,0,50293.51,288431.91,92.9,Success,Matched,3,No Exception
DOC000122,INV000122,Apex Manufacturing,35ABCDE7460F1Z3,Infosys,INVNO-100122,2024-06-08,PO-5884570,125199.12,5163.44,5163.44,0,135526,86.97,Failed,Matched,7,No Exception
DOC000123,INV000123,ABC Industries,16ABCDE6582F1Z5,Cognizant,INVNO-100123,2024-12-19,PO-7754209,231228.03,0,0,54282.78,285510.81,95.11,Partial,Matched,22,No Exception
DOC000124,INV000124,GreenLeaf Trading,12ABCDE3773F1Z8,Accenture,INVNO-100124,2025-12-13,PO-9573988,174837.54,24477.26,24477.25,0,223792.05,97.73,Success,Matched,25,No Exception
DOC000125,INV000125,Omega Supplies,20ABCDE1460F1Z3,Cognizant,INVNO-100125,2025-03-04,PO-3263948,154659.2,0,0,27851.59,182510.79,82.9,Success,Matched,10,No Exception
DOC000126,INV000126,Omega Supplies,13ABCDE3737F1Z9,Wipro,INVNO-100126,2025-12-05,PO-1675365,332319.64,0,0,38711.39,371031.03,82.54,Partial,Matched,30,No Exception
DOC000127,INV000127,Velocity Systems,24ABCDE2850F1Z9,HCL,INVNO-100127,2024-05-03,PO-5199316,207692.72,0,0,19495.12,227187.84,84.2,Failed,Matched,15,No Exception
DOC000128,INV000128,Pioneer Industries,20ABCDE5831F1Z5,Accenture,INVNO-100128,2025-12-08,PO-1294237,28768.85,917.8,917.81,0,30604.46,92.21,Partial,Matched,22,No Exception
DOC000129,INV000129,Blue Ocean Pvt Ltd,12ABCDE6299F1Z4,Infosys,INVNO-100129,2024-06-07,PO-7373871,106641.29,0,0,29859.56,136500.85,87.34,Success,Matched,14,No Exception
DOC000130,INV000130,Sigma Enterprises,35ABCDE5330F1Z9,Cognizant,INVNO-100130,2025-07-23,PO-5851949,315424.05,0,0,47806.21,363230.26,87.47,Failed,Matched,25,No Exception
DOC000131,INV000131,Zenith Solutions,19ABCDE4627F1Z7,IBM India,INVNO-100131,2025-12-19,PO-1145063,410229.78,13316.81,13316.8,0,436863.39,81.8,Success,Matched,17,No Exception
DOC000132,INV000132,Omega Supplies,28ABCDE3272F1Z5,IBM India,INVNO-100132,2024-03-10,PO-9625693,179916.38,0,0,35267.31,215183.69,87.57,Partial,Matched,2,No Exception
DOC000133,INV000133,Apex Manufacturing,26ABCDE2208F1Z2,Wipro,INVNO-100133,2024-05-17,PO-7840650,275398.29,0,0,48768.82,324167.11,95.43,Success,Matched,27,No Exception
DOC000134,INV000134,Elite Components,21ABCDE9371F1Z7,Cognizant,INVNO-100134,2024-11-09,PO-3412583,80708.21,2929.96,2929.96,0,86568.13,89.06,Success,Matched,24,No Exception
DOC000135,INV000135,Smart Electronics,31ABCDE2891F1Z7,Cognizant,INVNO-100135,2024-04-18,PO-9530583,83325.16,0,0,14460.43,97785.59,81.01,Success,Matched,4,No Exception
DOC000136,INV000136,Omega Supplies,18ABCDE8924F1Z6,TCS,INVNO-100136,2025-12-15,PO-8076405,295703.04,0,0,46678.4,342381.44,81.61,Failed,Matched,9,No Exception
